track_n,line,lyric,track_title,artist,top_10_song
1,1,redone,Just Dance,Lady Gaga,1
1,2,konvict,Just Dance,Lady Gaga,1
1,3,gaga  oh oh  eh ,Just Dance,Lady Gaga,1
1,4,i have had a little bit too much  much  oh  oh  oh oh ,Just Dance,Lady Gaga,1
1,5,all of the people start to rush  start to rush by ,Just Dance,Lady Gaga,1
1,6,a dizzy twister dance,Just Dance,Lady Gaga,1
1,7,ca not find my drink or man,Just Dance,Lady Gaga,1
1,8,where are my keys ,Just Dance,Lady Gaga,1
1,9,i lost my phone  phone  oh  oh  oh oh ,Just Dance,Lady Gaga,1
1,10,what going on on the floor ,Just Dance,Lady Gaga,1
1,11,i love this record  baby  but i can not see straight anymore,Just Dance,Lady Gaga,1
1,12,keep it cool,Just Dance,Lady Gaga,1
1,13,what the name of this club ,Just Dance,Lady Gaga,1
1,14,i can not remember  but it alright  alright,Just Dance,Lady Gaga,1
1,15,just dance,Just Dance,Lady Gaga,1
1,16,gonna be okay,Just Dance,Lady Gaga,1
1,17,da da doo doot n  just dance,Just Dance,Lady Gaga,1
1,18,spin that record  babe,Just Dance,Lady Gaga,1
1,19,da da doo doot n  just dance,Just Dance,Lady Gaga,1
1,20,gonna be okay,Just Dance,Lady Gaga,1
1,21,da da da dance  dance  dance,Just Dance,Lady Gaga,1
1,22,just j j just dance,Just Dance,Lady Gaga,1
1,23,wish i could shut my playboy mouth  oh  oh  oh oh ,Just Dance,Lady Gaga,1
1,24,how would i turn my shirt inside out   inside out  right ,Just Dance,Lady Gaga,1
1,25,control your poison  babe,Just Dance,Lady Gaga,1
1,26,roses have thorns  they say,Just Dance,Lady Gaga,1
1,27,and we are all gettin  hosed tonight  oh  oh  oh oh ,Just Dance,Lady Gaga,1
1,28,what going on on the floor ,Just Dance,Lady Gaga,1
1,29,i love this record  baby  but i can not see straight anymore,Just Dance,Lady Gaga,1
1,30,keep it cool,Just Dance,Lady Gaga,1
1,31,what the name of this club ,Just Dance,Lady Gaga,1
1,32,i can not remember  but it alright  alright,Just Dance,Lady Gaga,1
1,33,just dance,Just Dance,Lady Gaga,1
1,34,gonna be okay,Just Dance,Lady Gaga,1
1,35,da da doo doot n  just dance,Just Dance,Lady Gaga,1
1,36,spin that record  babe,Just Dance,Lady Gaga,1
1,37,da da doo doot n  just dance,Just Dance,Lady Gaga,1
